id,category,level,type,jp,hiragana,kor,kor_pronunciation,hiragana_display
85,기초 1,1,kana,リ,り,리,리,FALSE
86,기초 1,1,kana,ル,る,루,루,FALSE
87,기초 1,1,kana,レ,れ,레,레,FALSE
88,기초 1,1,kana,ロ,ろ,로,로,FALSE
89,기초 1,1,kana,ワ,わ,와,와,FALSE
90,기초 1,1,kana,ヲ,を,오/워,오/워,FALSE
91,기초 1,1,kana,ン,ん,응,응,FALSE
92,기초 1,2,number,ゼロ,ゼロ,0,제로,FALSE
93,기초 1,2,number,いち,いち,1,이치,FALSE
94,기초 1,2,number,に,に,2,니,FALSE
95,기초 1,2,number,さん,さん,3,산,FALSE
96,기초 1,2,number,よん,よん,4,욘,FALSE
97,기초 1,2,number,ご,ご,5,고,FALSE
98,기초 1,2,number,ろく,ろく,6,로쿠,FALSE
99,기초 1,2,number,なな,なな,7,나나,FALSE
100,기초 1,2,number,はち,はち,8,하치,FALSE
101,기초 1,2,number,きゅう,きゅう,9,큐우,FALSE
102,기초 1,2,number,じゅう,じゅう,10,쥬우,FALSE
103,기초 1,2,number,じゅういち,じゅういち,11,쥬우이치,FALSE
104,기초 1,2,number,じゅうに,じゅうに,12,쥬우니,FALSE
105,기초 1,2,number,じゅうさん,じゅうさん,13,쥬우산,FALSE
106,기초 1,2,number,じゅうよん,じゅうよん,14,쥬우욘,FALSE
107,기초 1,2,number,じゅうご,じゅうご,15,쥬우고,FALSE
108,기초 1,2,number,じゅうろく,じゅうろく,16,쥬우로쿠,FALSE
109,기초 1,2,number,じゅうなな,じゅうなな,17,쥬우나나,FALSE
110,기초 1,2,number,じゅうはち,じゅうはち,18,쥬우하치,FALSE
111,기초 1,2,number,じゅうきゅう,じゅうきゅう,19,쥬우큐우,FALSE
112,기초 1,2,number,にじゅう,にじゅう,20,니쥬우,FALSE
113,기초 1,2,number,さんじゅう,さんじゅう,30,산쥬우,FALSE
114,기초 1,2,number,よんじゅう,よんじゅう,40,욘쥬우,FALSE
115,기초 1,2,number,ごじゅう,ごじゅう,50,고쥬우,FALSE
116,기초 1,2,number,ろくじゅう,ろくじゅう,60,로쿠쥬우,FALSE
117,기초 1,2,number,ななじゅう,ななじゅう,70,나나쥬우,FALSE
118,기초 1,2,number,はちじゅう,はちじゅう,80,하치쥬우,FALSE
119,기초 1,2,number,きゅうじゅう,きゅうじゅう,90,큐우쥬우,FALSE
120,기초 1,2,number,ひゃく,ひゃく,100,햐쿠,FALSE
121,기초 1,2,number,にひゃく,にひゃく,200,니햐쿠,FALSE
122,기초 1,2,number,さんびゃく,さんびゃく,300,산뱌쿠,FALSE
123,기초 1,2,number,よんひゃく,よんひゃく,400,욘햐쿠,FALSE
124,기초 1,2,number,ごひゃく,ごひゃく,500,고햐쿠,FALSE
125,기초 1,2,number,ろっぴゃく,ろっぴゃく,600,롭뺘쿠,FALSE
126,기초 1,2,number,ななひゃく,ななひゃく,700,나나햐쿠,FALSE
127,기초 1,2,number,はっぴゃく,はっぴゃく,800,핫뺘쿠,FALSE
128,기초 1,2,number,きゅうひゃく,きゅうひゃく,900,큐우햐쿠,FALSE
129,기초 1,3,conter_age,一歳,いっさい,1살,잇사이,TRUE
130,기초 1,3,conter_age,二歳,にさい,2살,니사이,TRUE
131,기초 1,3,conter_age,三歳,さんさい,3살,산사이,TRUE
132,기초 1,3,conter_age,四歳,よんさい,4살,욘사이,TRUE
133,기초 1,3,conter_age,五歳,ごさい,5살,고사이,TRUE
134,기초 1,3,conter_age,六歳,ろくさい,6살,로쿠사이,TRUE
135,기초 1,3,conter_age,七歳,ななさい,7살,나나사이,TRUE
136,기초 1,3,conter_age,八歳,はっさい,8살,핫사이,TRUE
137,기초 1,3,conter_age,九歳,きゅうさい,9살,큐우사이,TRUE
138,기초 1,3,conter_age,十歳,じゅっさい,10살,쥿사이,TRUE
139,기초 1,3,conter_age,二十歳,はたち,20살,하타치,TRUE
140,기초 1,3,conter_age,三十歳,さんじゅっさい,30살,산쥿사이,TRUE
141,기초 1,3,conter_age,四十歳,よんじゅっさい,40살,욘쥿사이,TRUE
142,기초 1,4,conter_person,一人,ひとり,한 명,히토리,TRUE
143,기초 1,4,conter_person,二人,ふたり,두 명,후타리,TRUE
144,기초 1,4,conter_person,三人,さんにん,세 명,산닌,TRUE
145,기초 1,4,conter_person,四人,よにん,네 명,요닌,TRUE
146,기초 1,4,conter_person,五人,ごにん,다섯 명,고닌,TRUE
147,기초 1,4,conter_person,六人,ろくにん,여섯 명,로쿠닌,TRUE
148,기초 1,4,conter_person,七人,ななにん,일곱 명,나나닌,TRUE
149,기초 1,4,conter_person,八人,はちにん,여덟 명,하치닌,TRUE
150,기초 1,4,conter_person,九人,きゅうにん,아홉 명,큐우닌,TRUE
151,기초 1,4,conter_person,十人,じゅうにん,열 명,쥬우닌,TRUE
152,기초 1,4,counter_item,一つ,ひとつ,하나,히토츠,TRUE
153,기초 1,4,counter_item,二つ,ふたつ,둘,후타츠,TRUE
154,기초 1,4,counter_item,三つ,みっつ,셋,밋츠,TRUE
155,기초 1,4,counter_item,四つ,よっつ,넷,욧츠,TRUE
156,기초 1,4,counter_item,五つ,いつつ,다섯,이츠츠,TRUE
157,기초 1,4,counter_item,六つ,むっつ,여섯,뭇츠,TRUE
158,기초 1,4,counter_item,七つ,ななつ,일곱,나나츠,TRUE
159,기초 1,4,counter_item,八つ,やっつ,여덟,얏츠,TRUE
160,기초 1,4,counter_item,九つ,ここのつ,아홉,코코노츠,TRUE
161,기초 1,4,counter_item,十,とお,열,토오,TRUE
162,기초 2,1,date_week,何曜日,なんようび,무슨 요일,난요-비,TRUE
163,기초 2,1,date_week,月曜日,げつようび,월요일,게츠요-비,TRUE
164,기초 2,1,date_week,火曜日,かようび,화요일,카요-비,TRUE
165,기초 2,1,date_week,水曜日,すいようび,수요일,스이요-비,TRUE
166,기초 2,1,date_week,木曜日,もくようび,목요일,모쿠요-비,TRUE
167,기초 2,1,date_week,金曜日,きんようび,금요일,킨요-비,TRUE
168,기초 2,1,date_week,土曜日,どようび,토요일,도요-비,TRUE
169,기초 2,1,date_week,日曜日,にちようび,일요일,니치요-비,TRUE
170,기초 2,1,date_year,何年,なんねん,몇 년,난넨,TRUE
171,기초 2,1,date_year,一年,いちねん,1년,이치넨,TRUE
172,기초 2,1,date_year,二年,にねん,2년,니넨,TRUE
173,기초 2,1,date_year,三年,さんねん,3년,산넨,TRUE
174,기초 2,1,date_year,四年,よねん,4년,요넨,TRUE
175,기초 2,1,date_year,五年,ごねん,5년,고넨,TRUE
176,기초 2,1,date_year,六年,ろくねん,6년,로쿠넨,TRUE
177,기초 2,1,date_year,七年,ななねん,7년,나나넨,TRUE
178,기초 2,1,date_year,八年,はちねん,8년,하치넨,TRUE
179,기초 2,1,date_year,九年,きゅうねん,9년,큐-넨,TRUE
180,기초 2,1,date_year,十年,じゅうねん,10년,쥬-넨,TRUE
181,기초 2,1,date_month,何月,なんがつ,몇 월,난가츠,TRUE
182,기초 2,1,date_month,一月,いちがつ,1월,이치가츠,TRUE
183,기초 2,1,date_month,二月,にがつ,2월,니가츠,TRUE
184,기초 2,1,date_month,三月,さんがつ,3월,산가츠,TRUE
185,기초 2,1,date_month,四月,しがつ,4월,시가츠,TRUE
186,기초 2,1,date_month,五月,ごがつ,5월,고가츠,TRUE
187,기초 2,1,date_month,六月,ろくがつ,6월,로쿠가츠,TRUE
188,기초 2,1,date_month,七月,しちがつ,7월,시치가츠,TRUE
189,기초 2,1,date_month,八月,はちがつ,8월,하치가츠,TRUE
190,기초 2,1,date_month,九月,くがつ,9월,쿠가츠,TRUE
191,기초 2,1,date_month,十月,じゅうがつ,10월,쥬-가츠,TRUE
192,기초 2,1,date_month,十一月,じゅういちがつ,11월,쥬-이치가츠,TRUE
193,기초 2,1,date_month,十二月,じゅうにがつ,12월,쥬-니가츠,TRUE
194,기초 2,2,date_day,何日,なんにち,며칠,난니치,TRUE
195,기초 2,2,date_day,一日,ついたち,1일,츠이타치,TRUE
196,기초 2,2,date_day,二日,ふつか,2일,후츠카,TRUE
197,기초 2,2,date_day,三日,みっか,3일,밋카,TRUE
198,기초 2,2,date_day,四日,よっか,4일,욧카,TRUE
199,기초 2,2,date_day,五日,いつか,5일,이츠카,TRUE
200,기초 2,2,date_day,六日,むいか,6일,무이카,TRUE
201,기초 2,2,date_day,七日,なのか,7일,나노카,TRUE
202,기초 2,2,date_day,八日,ようか,8일,요-카,TRUE
203,기초 2,2,date_day,九日,ここのか,9일,코코노카,TRUE
204,기초 2,2,date_day,十日,とおか,10일,토-카,TRUE
205,기초 2,2,date_day,十一日,じゅういちにち,11일,쥬-이치니치,TRUE
206,기초 2,2,date_day,十二日,じゅうににち,12일,쥬-니니치,TRUE
207,기초 2,2,date_day,十三日,じゅうさんにち,13일,쥬-산니치,TRUE
208,기초 2,2,date_day,十四日,じゅうよっか,14일,쥬-욧카,TRUE
209,기초 2,2,date_day,十五日,じゅうごにち,15일,쥬-고니치,TRUE
210,기초 2,2,date_day,十六日,じゅうろくにち,16일,쥬-로쿠니치,TRUE
211,기초 2,2,date_day,十七日,じゅうしちにち,17일,쥬-시치니치,TRUE
212,기초 2,2,date_day,十八日,じゅうはちにち,18일,쥬-하치니치,TRUE
213,기초 2,2,date_day,十九日,じゅうくにち,19일,쥬-쿠니치,TRUE
214,기초 2,2,date_day,二十日,はつか,20일,하츠카,TRUE
215,기초 2,2,date_day,二十一日,にじゅういちにち,21일,니쥬-이치니치,TRUE
216,기초 2,2,date_day,二十二日,にじゅうににち,22일,니쥬-니니치,TRUE
217,기초 2,2,date_day,二十三日,にじゅうさんにち,23일,니쥬-산니치,TRUE
218,기초 2,2,date_day,二十四日,にじゅうよっか,24일,니쥬-욧카,TRUE
219,기초 2,2,date_day,二十五日,にじゅうごにち,25일,니쥬-고니치,TRUE
220,기초 2,2,date_day,二十六日,にじゅうろくにち,26일,니쥬-로쿠니치,TRUE
221,기초 2,2,date_day,二十七日,にじゅうしちにち,27일,니쥬-시치니치,TRUE
222,기초 2,2,date_day,二十八日,にじゅうはちにち,28일,니쥬-하치니치,TRUE
223,기초 2,2,date_day,二十九日,にじゅうくにち,29일,니쥬-쿠니치,TRUE
224,기초 2,2,date_day,三十日,さんじゅうにち,30일,산쥬-니치,TRUE
225,기초 2,3,time_hour,何時,なんじ,몇 시,난지,TRUE
226,기초 2,3,time_hour,一時,いちじ,1시,이치지,TRUE
227,기초 2,3,time_hour,二時,にじ,2시,니지,TRUE
228,기초 2,3,time_hour,三時,さんじ,3시,산지,TRUE
229,기초 2,3,time_hour,四時,よじ,4시,요지,TRUE
230,기초 2,3,time_hour,五時,ごじ,5시,고지,TRUE
231,기초 2,3,time_hour,六時,ろくじ,6시,로쿠지,TRUE
232,기초 2,3,time_hour,七時,しちじ,7시,시치지,TRUE
233,기초 2,3,time_hour,八時,はちじ,8시,하치지,TRUE
234,기초 2,3,time_hour,九時,くじ,9시,쿠지,TRUE
235,기초 2,3,time_hour,十時,じゅうじ,10시,쥬-지,TRUE
236,기초 2,3,time_hour,十一時,じゅういちじ,11시,쥬-이치지,TRUE
237,기초 2,3,time_hour,十二時,じゅうにじ,12시,쥬-니지,TRUE
238,기초 2,3,time_min,何分,なんぷん,몇 분,난푼,TRUE
239,기초 2,3,time_min,一分,いっぷん,1분,잇푼,TRUE
240,기초 2,3,time_min,二分,にふん,2분,니훈,TRUE
241,기초 2,3,time_min,三分,さんぷん,3분,산푼,TRUE
242,기초 2,3,time_min,四分,よんふん,4분,욘훈,TRUE
243,기초 2,3,time_min,五分,ごふん,5분,고훈,TRUE
244,기초 2,3,time_min,六分,ろっぷん,6분,롭푼,TRUE
245,기초 2,3,time_min,七分,ななふん,7분,나나훈,TRUE
246,기초 2,3,time_min,八分,はっぷん,8분,핫푼,TRUE
247,기초 2,3,time_min,九分,きゅうふん,9분,큐-훈,TRUE
248,기초 2,3,time_min,十分,じゅっぷん,10분,쥿푼,TRUE
249,기초 2,3,time_min,十一分,じゅういっぷん,11분,쥬-잇푼,TRUE
250,기초 2,3,time_min,十二分,じゅうにふん,12분,쥬-니훈,TRUE
251,기초 2,3,time_min,十三分,じゅうさんぷん,13분,쥬-산푼,TRUE
252,기초 2,3,time_min,十四分,じゅうよんふん,14분,쥬-욘훈,TRUE
253,기초 2,3,time_min,十五分,じゅうごふん,15분,쥬-고훈,TRUE
254,기초 2,3,time_min,十六分,じゅうろっぷん,16분,쥬-롭푼,TRUE
255,기초 2,3,time_min,十七分,じゅうななふん,17분,쥬-나나훈,TRUE
256,기초 2,3,time_min,十八分,じゅうはっぷん,18분,쥬-핫푼,TRUE
257,기초 2,3,time_min,十九分,じゅうきゅうふん,19분,쥬-큐-훈,TRUE
258,기초 2,3,time_min,二十分,にじゅっぷん,20분,니쥿푼,TRUE
259,기초 2,3,time_min,三十分,さんじゅっぷん,30분,산쥿푼,TRUE
260,기초 2,3,time_min,四十分,よんじゅっぷん,40분,욘쥿푼,TRUE
261,기초 2,3,time_min,五十分,ごじゅっぷん,50분,고쥿푼,TRUE
262,기초 2,3,time_min,六十分,ろくじゅっぷん,60분,로쿠쥿푼,TRUE
